Department :- Computer Science Engineering

Name,Department,Company,Package (In LPA)
Aarav Sharma,Computer Science Engineering,TCS,4.5
Vivaan Kumar,Computer Science Engineering,Infosys,5.2
Aditya Singh,Computer Science Engineering,Wipro,4.8
Vihaan Gupta,Computer Science Engineering,Google,25.0
Arjun Patel,Computer Science Engineering,Microsoft,22.5
Reyansh Yadav,Computer Science Engineering,Amazon,18.7
Ayaan Reddy,Computer Science Engineering,TCS,4.5
Krishna Joshi,Computer Science Engineering,Cognizant,6.2
Ishaan Verma,Computer Science Engineering,Accenture,5.5
Darsh Agarwal,Computer Science Engineering,IBM,12.3
Gyan Kapoor,Computer Science Engineering,Oracle,14.2
Kiaan Mishra,Computer Science Engineering,Flipkart,16.8
Riaan Sharma,Computer Science Engineering,Adobe,19.5
Veer Nair,Computer Science Engineering,Paytm,8.9
Aadhya Kumari,Computer Science Engineering,Zomato,7.2
Anika Patel,Computer Science Engineering,Swiggy,6.8
Kavya Singh,Computer Science Engineering,Ola,9.1
Anaya Gupta,Computer Science Engineering,Uber,10.5
Ira Sharma,Computer Science Engineering,Netflix,21.2
Myra Reddy,Computer Science Engineering,Spotify,18.9
Saanvi Joshi,Computer Science Engineering,Facebook,26.5
Aanya Verma,Computer Science Engineering,Apple,28.0
Pari Agarwal,Computer Science Engineering,,0
Avni Kapoor,Computer Science Engineering,,0
Riya Mishra,Computer Science Engineering,,0

Department :- Information Technology

Name,Department,Company,Package (In LPA)
Advait Sharma,Information Technology,TCS,4.2
Aryan Kumar,Information Technology,Infosys,4.8
Shaurya Singh,Information Technology,Wipro,4.5
Atharv Gupta,Information Technology,HCL,5.1
Arnav Patel,Information Technology,Tech Mahindra,5.8
Vivaan Yadav,Information Technology,L&T Infotech,6.5
Aarav Reddy,Information Technology,Capgemini,6.2
Dhruv Joshi,Information Technology,Deloitte,8.7
Arjun Verma,Information Technology,EY,9.2
Kabir Agarwal,Information Technology,PwC,8.9
Yash Kapoor,Information Technology,KPMG,9.5
Rudra Mishra,Information Technology,Salesforce,15.6
Shivansh Sharma,Information Technology,ServiceNow,14.2
Aarush Nair,Information Technology,VMware,12.8
Anvi Kumari,Information Technology,Cisco,13.5
Diya Patel,Information Technology,Intel,16.2
Kiara Singh,Information Technology,Nvidia,17.8
Navya Gupta,Information Technology,AMD,15.9
Rhea Sharma,Information Technology,Qualcomm,14.7
Tara Reddy,Information Technology,Broadcom,16.5
Zara Joshi,Information Technology,,0
Asha Verma,Information Technology,,0
Meera Agarwal,Information Technology,,0
Priya Kapoor,Information Technology,,0

Department :- Electronics and Communication Engineering

Name,Department,Company,Package (In LPA)
